localidad;estacion_de_monitoreo;fecha;ICA_verano;ICA_otonio;ICA_invierno;ICA_primavera
Tigre;TI001;2018;36;62;61;67
Tigre;TI001;2019;59;53;77;61
Tigre;TI001;2020;75;s/i;s/i;64
Tigre;TI000;2021;42;48;64;55
Tigre;TI001;2022;55;59;49;61
Tigre;TI006;2018;44;52;43;43
Tigre;TI006;2019;70;51;55;43
Tigre;TI006;2020;54;s/i;s/i;40
Tigre;TI006;2021;49;39;43;48
Tigre;TI006;2022;42;36;46;40
Tigre;TI002;2018;39;44;46;44
Tigre;TI002;2019;51;38;43;44
Tigre;TI002;2020;51;s/i;s/i;43
Tigre;TI002;2021;26;36;34;34
Tigre;TI002;2022;45;42;29;40
Tigre;TI003;2018;42;55;49;45
Tigre;TI003;2019;61;60;46;43
Tigre;TI003;2020;53;s/i;s/i;46
Tigre;TI003;2021;42;35;40;49
Tigre;TI003;2022;46;40;53;36
Tigre;TI004;2018;35;47;48;37
Tigre;TI004;2019;46;45;42;34
Tigre;TI004;2020;47;s/i;s/i;48
Tigre;TI004;2021;35;29;57;42
Tigre;TI004;2022;44;37;35;56
Tigre;TI005;2018;40;44;47;38
Tigre;TI005;2019;52;35;41;41
Tigre;TI005;2020;48;s/i;s/i;43
Tigre;TI005;2021;28;31;30;28
Tigre;TI005;2022;40;37;32;67
Tigre;TI007;2018;46;40;45;42
Tigre;TI007;2019;47;40;43;37
Tigre;TI007;2020;49;s/i;s/i;45
Tigre;TI007;2021;30;40;35;34
Tigre;TI007;2022;35;41;25;52
Tigre;TI008;2018;46;64;76;52
Tigre;TI008;2019;48;58;60;55
Tigre;TI008;2020;72;s/i;s/i;69
Tigre;TI008;2021;49;75;65;49
Tigre;TI008;2022;46;58;53;50
Tigre;TI009;2018;47;75;75;75
Tigre;TI009;2019;62;58;77;58
Tigre;TI009;2020;70;s/i;s/i;63
Tigre;TI009;2021;49;46;80;49
Tigre;TI009;2022;58;61;51;50
San Fernando;SF015;2018;s/i;53;53;38
San Fernando;SF015;2019;41;37;42;40
San Fernando;SF015;2020;44;s/i;s/i;45
San Fernando;SF015;2021;41;s/i;s/i;51
San Fernando;SF015;2022;51;39;34;58
San Isidro;SI021;2018;60;62;61;51
San Isidro;SI021;2019;66;s/i;s/i;s/i
San Isidro;SI021;2020;s/i;s/i;s/i;s/i
San Isidro;SI021;2021;s/i;s/i;s/i;s/i
San Isidro;SI021;2022;;s/i;s/i;s/i
San Isidro;SI022;2018;59;63;57;44
San Isidro;SI022;2019;61;47;41;41
San Isidro;SI022;2020;49;s/i;s/i;50
San Isidro;SI022;2021;42;36;58;41
San Isidro;SI022;2022;s/i;55;s/i;41
San Isidro;SI024;2018;52;39;38;48
San Isidro;SI024;2019;37;52;42;40
San Isidro;SI024;2020;44;s/i;s/i;45
San Isidro;SI024;2021;42;48;41;54
San Isidro;SI024;2022;46;44;s/i;58
San Isidro;SI023;2018;49;38;39;41
San Isidro;SI023;2019;27;40;36;32
San Isidro;SI023;2020;36;s/i;s/i;37
San Isidro;SI023;2021;33;38;36;46
San Isidro;SI023;2022;33;35;s/i;51
Vicente Lopez;VL033;2018;47;41;45;41
Vicente Lopez;VL033;2019;45;39;41;48
Vicente Lopez;VL033;2020;45;s/i;s/i;45
Vicente Lopez;VL033;2021;41;43;54;45
Vicente Lopez;VL033;2022;33;50;42;59
Vicente Lopez;VL032;2018;45;49;48;50
Vicente Lopez;VL032;2019;42;s/i;43;44
Vicente Lopez;VL032;2020;46;s/i;s/i;45
Vicente Lopez;VL032;2021;37;s/i;44;37
Vicente Lopez;VL032;2022;45;37;37;50
Vicente Lopez;VL031;2018;57;51;38;39
Vicente Lopez;VL031;2019;40;40;36;40
Vicente Lopez;VL031;2020;40;s/i;s/i;41
Vicente Lopez;VL031;2021;46;s/i;43;46
Vicente Lopez;VL031;2022;40;38;38;49
CABA;CA041;2018;38;39;s/i;36
CABA;CA041;2019;53;37;35;43
CABA;CA041;2020;55;s/i;s/i;50
CABA;CA041;2021;41;s/i;37;39
CABA;CA041;2022;47;42;s/i;s/i
CABA;CA044;2018;48;46;s/i;37
CABA;CA044;2019;49;35;24;40
CABA;CA044;2020;47;s/i;s/i;56
CABA;CA044;2021;34;s/i;41;47
CABA;CA044;2022;54;42;36;s/i
CABA;CA046;2018;40;39;s/i;32
CABA;CA046;2019;34;41;32;35
CABA;CA046;2020;46;s/i;s/i;50
CABA;CA046;2021;42;s/i;45;42
CABA;CA046;2022;59;39;36;s/i
CABA;CA047;2018;46;58;s/i;57
CABA;CA047;2019;81;54;31;44
CABA;CA047;2020;66;s/i;s/i;55
CABA;CA047;2021;46;s/i;46;49
CABA;CA047;2022;60;43;45;s/i
Avellaneda;AV054;2018;40;40;54;52
Avellaneda;AV054;2019;46;41;50;43
Avellaneda;AV054;2020;51;s/i;s/i;43
Avellaneda;AV054;2021;38;34;38;53
Avellaneda;AV054;2022;76;37;35;47
Avellaneda;AV051;2018;41;42;68;47
Avellaneda;AV051;2019;54;38;55;40
Avellaneda;AV051;2020;59;s/i;s/i;47
Avellaneda;AV051;2021;45;48;40;52
Avellaneda;AV051;2022;44;36;38;52
Avellaneda;AV052;2018;45;58;65;67
Avellaneda;AV052;2019;44;48;49;45
Avellaneda;AV052;2020;62;s/i;s/i;48
Avellaneda;AV052;2021;39;41;38;50
Avellaneda;AV052;2022;45;38;38;43
Avellaneda;AV055;2018;48;47;61;59
Avellaneda;AV055;2019;48;38;61;40
Avellaneda;AV055;2020;60;s/i;s/i;53
Avellaneda;AV055;2021;47;39;46;47
Avellaneda;AV055;2022;44;35;37;40
Avellaneda;AV053;2018;50;55;60;53
Avellaneda;AV053;2019;51;37;57;43
Avellaneda;AV053;2020;65;s/i;s/i;50
Avellaneda;AV053;2021;36;38;59;34
Avellaneda;AV053;2022;39;39;37;40
Quilmes;QU061;2018;s/i;48;57;54
Quilmes;QU061;2019;58;41;s/i;38
Quilmes;QU061;2020;83;s/i;s/i;s/i
Quilmes;QU061;2021;45;44;49;50
Quilmes;QU061;2022;33;45;42;62
Quilmes;QU062;2018;s/i;51;54;50
Quilmes;QU062;2019;61;48;s/i;42
Quilmes;QU062;2020;81;s/i;s/i;s/i
Quilmes;QU062;2021;44;44;64;53
Quilmes;QU062;2022;59;45;33;41
Quilmes;QU063;2018;s/i;53;44;44
Quilmes;QU063;2019;74;49;60;32
Quilmes;QU063;2020;81;s/i;s/i;s/i
Quilmes;QU063;2021;46;48;47;49
Quilmes;QU063;2022;48;40;36;36
Berazategui;BZ078;2018;41;53;40;49
Berazategui;BZ078;2019;39;43;38;42
Berazategui;BZ078;2020;39;s/i;s/i;49
Berazategui;BZ078;2021;33;42;45;39
Berazategui;BZ078;2022;55;36;33;40
Berazategui;BZ077;2018;57;s/i;s/i;49
Berazategui;BZ077;2019;45;49;50;40
Berazategui;BZ077;2020;37;s/i;s/i;60
Berazategui;BZ077;2021;35;41;61;52
Berazategui;BZ077;2022;48;36;33;39
Berazategui;BZ080;2018;42;59;49;53
Berazategui;BZ080;2019;46;56;47;43
Berazategui;BZ080;2020;39;s/i;s/i;63
Berazategui;BZ080;2021;51;44;43;33
Berazategui;BZ080;2022;s/i;40;38;40
Boca Cerrada (Res.Nat. Punta Lara);EN-extra;2022;40;51;42;41
Ensenada;EN081;2018;42;61;61;59
Ensenada;EN081;2019;62;70;46;48
Ensenada;EN081;2020;74;s/i;s/i;53
Ensenada;EN081;2021;51;56;58;58
Ensenada;EN081;2022;55;59;42;38
Ensenada;EN082;2018;52;62;49;66
Ensenada;EN082;2019;66;66;55;71
Ensenada;EN082;2020;75;s/i;s/i;66
Ensenada;EN082;2021;50;72;67;65
Ensenada;EN082;2022;42;64;45;41
Ensenada;EN083;2018;39;56;37;63
Ensenada;EN083;2019;38;36;39;41
Ensenada;EN083;2020;32;s/i;s/i;42
Ensenada;EN083;2021;40;38;60;39
Ensenada;EN083;2022;56;40;32;37
Ensenada;EN084;2018;35;71;70;66
Ensenada;EN084;2019;46;55;62;55
Ensenada;EN084;2020;70;s/i;s/i;62
Ensenada;EN084;2021;57;74;60;58
Ensenada;EN084;2022;46;55;46;54
Berisso;BS092;2018;47;61;38;43
Berisso;BS092;2019;39;41;38;39
Berisso;BS092;2020;42;s/i;s/i;s/i
Berisso;BS092;2021;43;s/i;37;38
Berisso;BS092;2022;57;41;34;43
Berisso;BS095;2018;53;37;27;43
Berisso;BS095;2019;30;34;29;32
Berisso;BS095;2020;29;s/i;s/i;s/i
Berisso;BS095;2021;26;s/i;28;26
Berisso;BS095;2022;50;29;23;37
Berisso;BS091;2018;48;50;33;42
Berisso;BS091;2019;43;49;54;36
Berisso;BS091;2020;42;s/i;s/i;s/i
Berisso;BS091;2021;42;s/i;41;39
Berisso;BS091;2022;31;50;38;49
Berisso;BS094;2018;47;58;59;59
Berisso;BS094;2019;50;53;41;39
Berisso;BS094;2020;58;s/i;s/i;s/i
Berisso;BS094;2021;49;s/i;46;62
Berisso;BS094;2022;44;59;41;39
Berisso;BS093;2018;44;65;43;54
Berisso;BS093;2019;57;69;35;41
Berisso;BS093;2020;70;s/i;s/i;s/i
Berisso;BS093;2021;46;s/i;43;49
Berisso;BS093;2022;44;55;46;34
